行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
,,アース,オス,2024/9/20,アーチャー,ピース,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/earth.png
,,ミラ仔,オス,2024/6/23-2025/1/14,ソラ,ミラ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,,オス,,,,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ピコ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ジェックス,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ライタ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,アーチャー(東山),オス,-2015/4/3,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,カルゴア,メス,,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ボウ,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ジンベラン仔,オス,-2023/7/9,コロン,ジンベラン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ピース♂,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ゆめ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/yume.png
,,アーク,,,,,,https://dj-kata.github.io/koala_familytree/imgs/ark.png
,,パイン,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ティアラ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ティムタム,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ライチ,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ジェイン,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ドリー,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,バンブラ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/banbura.png
,,ココロ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/kokoro.png
,,ブランディ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,フランク,,,,,,https://dj-kata.github.io/koala_familytree/imgs/frank.png
,,イト,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/ito.png
,,ブンダ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
,,コタロウ,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/kotarou.png
,,マックス,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/max.png
,,キボウ仔,オス,2025/4/9,アーチャー,キボウ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,コハル仔,,2025/5/1,ソラ,コハル,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,インディコ仔,メス,2025/5/15,ししお,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
